_id,tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
780,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2017-06-28T00:00:00,1239,QUILMES Nº 8,Buenos Aires,Nacional,2017,17,SEDAN 5 PUERTAS,19,FORD,XH,FOCUS 5P 1.6L N MT S,1,Privado,Física,QUILMES,BUENOS AIRES,Femenino,1975,ARGENTINA,100,6,200
781,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2013-04-15T00:00:00,1240,JOSE C. PAZ Nº 1,Buenos Aires,Protocolo 21,2013,4,RURAL 5 PUERTAS,112,RENAULT,882,DUSTER CONFORT 1.6 4X2,1,Privado,Física,JOSE C. PAZ,BUENOS AIRES,Masculino,1974,ARGENTINA,100,6,200
782,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,1993-02-16T00:00:00,1242,MAR DEL PLATA Nº 11,Buenos Aires,Nacional,1993,20,PICK UP,19,FORD,15,F-100 NAFTA,1,Privado,Física,MAR DEL PLATA,BUENOS AIRES,Masculino,1985,ARGENTINA,100,6,200
783,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2019-08-13T00:00:00,14010,POSADAS Nº 3,Misiones,Protocolo 21,2019,2,SEDAN 4 PUERTAS,024,CHEVROLET,705,PRISMA JOY 4P 1.4 N LS MT,1,Privado,Física,POSADAS,MISIONES,Masculino,1983,ARGENTINA,100,54,200
784,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2015-05-05T00:00:00,1246,LA PLATA Nº 12,Buenos Aires,Nacional,2015,12,SEDAN 4 PUERTAS,08,CHEVROLET,DX,CLASSIC 4 P LS ABS+AIRBAG 1.4N,1,Privado,Física,TOLOSA,BUENOS AIRES,No identificado,1984,ARGENTINA,100,6,200
785,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,1999-10-01T00:00:00,4060,CORDOBA Nº 17,Córdoba,Nacional,1999,12,SEDAN 4 PTAS,08,CHEVROLET,57,CORSA 4 PUERTAS WIND 1.6 LTS,1,Privado,Física,CORDOBA,CORDOBA,Femenino,1974,ARGENTINA,100,14,200
786,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2010-06-01T00:00:00,19009,SAN LUIS Nº 4,San Luis,Protocolo 21,2010,4,RURAL 5 PTAS,044,FIAT,612,PALIO ADVENTURE 1.8MPI V8,1,Privado,Física,NOGOLI,SAN LUIS,Femenino,1985,ARGENTINA,100,74,200
787,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,1996-01-12T00:00:00,21049,ROSARIO Nº 11,Santa Fe,Nacional,1996,22,FURGON,37,RENAULT,34,RENAULT TRAFIC,1,Privado,Física,ROSARIO,SANTA FE,Masculino,1980,ARGENTINA,100,82,200
788,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2000-03-31T00:00:00,1249,BERISSO Nº 1,Buenos Aires,Importado,2000,13,FURGON,044,FIAT,461,DUCATO 2.8D PM15,1,Privado,Física,BERISSO,BUENOS AIRES,Femenino,1998,ARGENTINA,100,6,200
789,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2000-04-13T00:00:00,21053,SAN LORENZO Nº 3,Santa Fe,Nacional,2000,18,SEDAN 3 PTAS,34,PEUGEOT,AJ,206XRAA PRES,1,Privado,Física,SAN LORENZO,SANTA FE,Masculino,1950,ARGENTINA,100,82,200
